res	cluster	supergroup	deg	deg_sig_top10	mostcell	mostcell_deg	mostcell_deg_sig_top10
0.1	5	5	679	44	2	346	13
0.2	6	6	770	48	2	326	10
0.3	6	6	767	48	2	342	13
0.4	8	8	955	54	2	317	11
0.5	8	8	963	54	2	319	11
0.6	8	8	977	58	2	332	13
0.7	10	10	1024	60	3	386	26
0.8	10	10	1087	65	2	317	13
0.9	9	9	948	51	1	0	0
1	12	12	1054	57	3	396	18
1.1	12	12	1332	67	1	0	0
1.2	11	11	1346	67	1	0	0
1.3	12	12	1309	67	1	0	0
1.4	11	11	1273	65	1	0	0
1.5	13	13	1309	65	1	0	0
1.6	13	13	1395	75	1	0	0
1.7	15	15	1607	73	1	0	0
1.8	13	13	1393	75	1	0	0
1.9	16	16	1513	80	1	0	0
2	16	16	1617	77	1	0	0
2.1	19	19	1618	80	2	285	11
2.2	16	16	1434	73	1	0	0
2.3	16	16	1433	74	1	0	0
2.4	20	20	1629	80	2	288	11
2.5	21	21	1653	77	2	283	11
2.6	20	20	1634	80	2	284	11
2.7	21	21	1649	79	2	291	11
2.8	21	21	1680	79	2	279	11
2.9	18	18	1531	79	2	295	13
3	18	18	1448	73	1	0	0
