Library	PSC	PH 1	PH 2	PH 3	PH 4	PH 6	PM 1	PM 2	PM 3	PM 4	LM 2	CC 1	CC 2	GST-rich	Adipohemocyte
C-96-1	0	23.0769230769231	0	100	0	0	11.7380025940337	0	0	0	0	38.2022471910112	21.1538461538462	3.92156862745098	0
C-96-2	0	6.15384615384615	0	0	0	25	4.05317769130999	0	0	0	0	17.9775280898876	7.69230769230769	3.92156862745098	0
C-96-3	0	16.9230769230769	100	0	0	50	12.7107652399481	0	0	0	6.25	2.24719101123596	3.84615384615385	0	0
C-120-1	0	4.61538461538462	0	0	45.4545454545455	0	15.7263294422827	26.6826923076923	14.7058823529412	0	37.5	7.86516853932584	4.80769230769231	5.88235294117647	27.2727272727273
C-120-2	100	15.3846153846154	0	0	32.7272727272727	25	9.98702983138781	13.2211538461538	85.2941176470588	100	56.25	7.86516853932584	10.5769230769231	7.84313725490196	72.7272727272727
C-120-3	0	33.8461538461538	0	0	21.8181818181818	0	13.3592736705577	13.7019230769231	0	0	0	23.5955056179775	9.61538461538462	3.92156862745098	0
uninjured_1	0	0	0	0	0	0	14.526588845655	5.04807692307692	0	0	0	0	36.5384615384615	1.96078431372549	0
uninjured_2	0	0	0	0	0	0	17.8988326848249	41.3461538461538	0	0	0	2.24719101123596	5.76923076923077	72.5490196078431	0
