res	cluster	supergroup	deg	deg_sig_top10	mostcell	mostcell_deg	mostcell_deg_sig_top10
0.1	5	5	1116	38	2	351	17
0.2	5	5	1116	38	2	351	17
0.3	5	5	1116	38	2	351	17
0.4	5	5	1117	38	2	350	17
0.5	6	6	1129	37	2	264	15
0.6	5	5	1109	39	1	0	0
0.7	5	5	1081	38	1	0	0
0.8	5	5	1083	38	1	0	0
0.9	5	5	1083	38	1	0	0
1	6	6	1100	36	1	0	0
1.1	6	6	1114	38	1	0	0
1.2	6	6	1110	37	1	0	0
1.3	6	6	1103	36	1	0	0
1.4	6	6	1098	36	1	0	0
1.5	6	6	1097	36	1	0	0
1.6	6	6	1111	37	1	0	0
1.7	7	7	1142	36	1	0	0
1.8	7	7	1146	36	1	0	0
1.9	8	8	1189	37	1	0	0
2	8	8	1193	38	1	0	0
2.1	8	8	1197	37	1	0	0
2.2	8	8	1192	37	1	0	0
2.3	8	8	1203	36	1	0	0
2.4	9	9	1198	39	1	0	0
2.5	8	8	1182	38	1	0	0
2.6	8	8	1195	38	1	0	0
2.7	8	8	1215	37	1	0	0
2.8	11	11	1275	40	1	0	0
2.9	12	12	1282	40	1	0	0
3	12	12	1281	40	1	0	0
